001	DEPOSITADO	0	Acompanhar o pedido em questão na RPI.	Depositado o PEDIDO DE REGISTRO DA MARCA em questão.	FALSO	FALSO
570	DECISÃO JUDICIAL	0	Analisar decisão judicial	DECIDIDO JUDICIALMENTE conforme indicado no complemento	FALSO	FALSO
576	DEVOLUÇÃO DE PRAZO	60	Analisar despacho e cumprir.	RECONHECIDO O OBSTÁCULO ADMINISTRATIVO. DEVOLVI-DO O PRAZO , conforme requerido, que começará a fluir a partir da publicação na RPI, observando o disposto no complemento.	FALSO	FALSO
580	RECURSO DECISÃO CADUCIDADE	60	Analisar despacho.	RECURSO INTERPOSTO contra decisão sobre CADUCIDADE de registro	FALSO	FALSO
583	RECURSO DECISÃO PRORROGAÇÃO	0	Aguardar decisao do INPI	RECURSO INTERPOSTO contra decisão em PRORROGAÇÃO de registro	FALSO	FALSO
586	RECURSO CANCELAMENTO EX OFFICIO	0	Aguardar decisão do INPI	RECURSO INTERPOSTO contra  CANCELAMENTO  EX OFFICIO de regitro (Art. 89 do CPI)	FALSO	FALSO
587	RECURSO CANCELAMENTO EX OFFICIO	60	Analisar despacho	RECURSO interposto contra CANCELAMENTO EX OFFICIO de registro ( Art. 135 da LPI )	FALSO	FALSO
589	RECURSO	60	Analisar despacho	RECURSO INTERPOSTO CONTRA A DECISÃO abaixo indicada.	FALSO	FALSO
590	LIMITAÇÃO OU ÔNUS	60	Analisar despacho	LIMITAÇÃO OU ÔNUS, conforme indicado no complemento.	FALSO	FALSO
599	SUB JUDICE	0	Aguardar decisão judicial	"Registro  ""SUB JUDICE"" -  NOTIFICAÇÃO  DE  PROCEDIMENTO JUDICIAL, conforme indicado no complemento."	FALSO	FALSO
600	EXIGÊNCIA	60	Cumprir exigência recolhendo taxas complementares	Diga se deseja  PRORROGAR  registro  na(s)  CLASSE(S)  indica-do(s), recolhendo, se for o caso a(s)  RETRIBUIÇÃO(OES) corres-pondente(s) a(s) classe(s) excedente(s).  Recolha  também a  retri-buição do cumprimento de exigência.	FALSO	FALSO
610	EXIGÊNCIA	60	Cumprir exigência recolhendo taxas complementares	Especifique o(s)  PRODUTOS(S) / SERVICO(S),  protegido(s)  pelo registro prorrogado, enquadrando-o(s) na  Classificação  Internacio-nal em vigor, recolhendo, se for o caso a(s)   RETRIBUIÇÃO(OES)  referentes ao decênio e ao certificado de registro.Recolha também a retribuição do cumprimento de exigência.	FALSO	FALSO
620	EXIGÊNCIA	60	Cumprir exigência	Prove que signatário do documento de  CESSÃO tem  PODERES   contratuais e/ou estatutários para alienar a marca.	FALSO	FALSO
629	EXIGÊNCIA	60	Cumprir exigência complementando taxa.	Recolha  e/ou  complemente a  RETRIBUIÇÃO  devida,  no  exato valor fixado na tabela,  em vigor na data da comprovação do cum - primento desta  exigência, junto ao  INPI,  referente a  pedido(s) de TRANSFERÊNCIA  e/ou  ALTERAÇÃO DE  NOME e/ou  SEDE / ENDEREÇO.  Recolha,  também, a  RETRIBUIÇÃO  estabelecida para CUMPRIMENTO DE EXIGÊNCIA.	FALSO	FALSO
630	EXIGÊNCIA	60	Cumprir exigência	Cumpra a  EXIGÊNCIA  formulada no pedido de  ALTERAÇÃO  DE NOME E/OU DE SEDE / ENDEREÇO,  observando o disposto no complemento.	FALSO	FALSO
660	EXIGÊNCIA	60	Cumprir exigência	Cumpra a EXIGÊNCIA formulada  EM GRAU DE RECURSO, obser-vando o disposto no complemento.	FALSO	FALSO
665	EXIGÊNCIA	60	Cumprir exigência	Cumpra a EXIGÊNCIA formulada em GRAU DE PROCESSO ADMI-NISTRATIVO  DE  NULIDADE,  observando o disposto no comple-mento.	FALSO	FALSO
670	EXIGÊNCIA	60	Cumprir exigência	Apresente  DOCUMENTOS  complementares  que  comprovem  o USO  EFETIVO  DA  MARCA no período da investigação de uso, observando o disposto no complemento.	FALSO	FALSO
680	EXIGÊNCIA	60	Cumprir exigência	Preste esclarecimentos quanto ao  PRODUTO/SERVIÇO especifi-cados à vista do objeto social declarado, indicando, se for o caso, a classe correspondente.	FALSO	FALSO
690	EXIGÊNCIA	60	Cumprir exigência	Cumpra a EXIGÊNCIA, observando o disposto no complemento.	FALSO	FALSO
691	EXIGÊNCIA	60	Cumprir exigência	Apresente DOCUMENTOS FISCAIS legíveis emitidos pela empre-sa titular do registro no período de investigação, que  comprovem  uso efetivo da marca, objeto do registro caducando	FALSO	FALSO
692	EXIGÊNCIA	60	Cumprir exigência	Apresente DOCUMENTOS COMPLEMENTARES ( catálagos, im-pressos, etiquetas, etc )  que  identifiquem os  produtos / serviços observando o indicado no complemento.	FALSO	FALSO
693	EXIGÊNCIA	60	Cumprir exigência	Apresente DOCUMENTOS COMPLEMENTARES  que contenham a  finalidade terapêutica do produto assinalado  pela marca  objeto do registro caducando.	FALSO	FALSO
694	EXIGÊNCIA	60	Cumprir exigência	Apresente DOCUMENTOS COMPLEMENTARES que comprovem o alegado através da petição conforme indicado no complemento.	FALSO	FALSO
695	EXIGÊNCIA	60	Cumprir exigência	Recolha e/ou complemente a RETRIBUIÇÃO devida, no exato va-lor fixado na tabela, em vigor na  data da  comprovação do cumpri-mento desta  exigência,  junto ao  INPI,  observando o disposto no complemento. Recolha também a retribuição  do  CUMPRIMENTO DE EXIGÊNCIA.	FALSO	FALSO
696	COMPROVAÇÃO	60	Comprovar recolhimento referente à PRORROGAÇÃO DE REGISTRO	Conforme Resolução nº 123, de 06/01/2006, em vista do agrupamento total solicitado COMPROVE JUNTO AO INPI, no prazo de 60 (sessenta) dias contado desta data, o recolhimento referente à PRORROGAÇÃO DO REGISTRO E PROTEÇÃO AO DECÊNIO SUBSEQUENTE, no exato valor fixado na tabela, em vigor na data da comprovação.	FALSO	FALSO
700	EXTINTO	0	Analisar medidas administrativa e judicial	Registro EXTINTO, com base na norma legal indicada.	VERDADEIRO	FALSO
701	HOMOLOGADA RENÚNCIA PARCIAL	60	Analisar despacho e informar Cliente	HOMOLOGADA RENÚNCIA PARCIAL, com base no inciso II do  Art. 142 da LPI, conforme indicado no complemento.	FALSO	FALSO
702	REGISTRO EXTINTO	0	Analisar despacho.	EXTINTO  registro de marca, tendo  em  vista  o  AGRUPAMENTO solicitado, observando o disposto no complemento.	VERDADEIRO	FALSO
703	ARQUIVADO PEDIDO NOTORIEDADE	0	Informar Cliente	ARQUIVADO pedido de NOTORIEDADE ou PRORROGAÇÃO de notoriedade com base no Art. 233 da LPI	FALSO	FALSO
705	INDEFERIMENTO ALTERAÇÃO	60	Interpor recurso no prazo legal	Indeferido o pedido de  ANOTAÇÃO  DE  ALTERAÇÃO DE  NOME e/ou DE SEDE, com base na norma legal indicada.	FALSO	FALSO
710	INDEFERIMENTO TRANSFERÊNCIA	60	Interpor recurso	INDEFERIDO  o  pedido de  ANOTAÇÃO  DE  TRANSFERÊNCIA, com base  na norma legal indicada.	FALSO	FALSO
715	ARQUIVAMENTO ALTERAÇÃO	60	Analisar medidas administrativa e judicial	ARQUIVADO  o  pedido  de   ANOTAÇÃO  DE  ALTERAÇÃO  DE NOME e/ou SEDE,  com base na norma legal indicada.	FALSO	FALSO
720	ARQUIVAMENTO TRANSFERÊNCIA	60	Analisar medidas administrativa e judicial	ARQUIVADO  o pedido de   ANOTAÇÃO  DE  TRANSFERÊNCIA, com base na norma legal indicada.	FALSO	FALSO
725	ARQUIVAMENTO PRORROGAÇÃO	60	Analisar interposição de recurso	ARQUIVADO o pedido de PRORROGAÇÃO  DE  REGISTRO, com base na  norma legal indicada.	FALSO	FALSO
730	PETIÇÃO INDEFERIDA	60	Analisar medidas administrativa e judicial	INDEFERIDA A PETIÇÃO indicada.	FALSO	FALSO
734	PREJUDICADO	0	Comunicar Cliente	PREJUDICADO o despacho indicado. Exigência publicada na REPI........., de __/__/__, tendo em vista o Comunicado DIRMA de 16/12/2005, publicado na REPI 1826, de 03/01/2006, decorrente da Resolução nº 122, de 24/11/2005	FALSO	FALSO
735	PETIÇÃO PREJUDICADA	60	Analisar medidas administrativa e judicial	PREJUDICADA A PETIÇÃO indicada.	FALSO	FALSO
736	PETIÇÃO ARQUIVADA	60	Analisar despacho e informar Cliente	ARQUIVADA A PETIÇÃO indicada.	FALSO	FALSO
740	PETIÇÃO NÃO CONHECIDA	60	Analisar medidas administrativa e judicial	NÃO CONHECIDA a petição, com base na norma legal indicada.	FALSO	FALSO
745	HOMOLOGADA DESISTÊNCIA	0		HOMOLAGADA  A  DESISTÊNCIA, requerida  através da  petição indicada.	FALSO	FALSO
750	PRORROGAÇÃO INDEFERIDA	60	Interpor recurso	INDEFERIDO  o  PEDIDO  DE  PRORROGAÇÃO,  com  base   na norma legal indicada.	FALSO	FALSO
752	SOBRESTADO AGRUPAMENTO	0	Analisar despacho.	SOBRESTADO O AGRUPAMENTO solicitado, até decisão final do registro indicado abaixo.	FALSO	FALSO
770	REGISTRO CANCELADO	60	Analisar medidas administrativa e judicial	"CANCELADO ""EX OFICIO"" o registro, com base no Art.89 do CPI"	FALSO	FALSO
786	CANCELADO EX OFFICIO	60	Analisar despacho e informar Cliente	CANCELADO EX OFFICIO o registro, com base no Art. 135 da LPI	FALSO	FALSO
787	MANTIDO CANCELAMENTO EX OFFICIO	0	Comunicar Cliente	MANTIDO CANCELAMENTO EX OFFICIO do registro,  face ao de-curso  de prazo para interposição de recurso ao despacho denega-tório anteriormente publicado,  encerrando-se a  Instância  Adminis-trativa.	FALSO	FALSO
790	REVOGADO DESPACHO	0	Analisar despacho	REVOGADO o despacho abaixo indicado.	FALSO	FALSO
795	ANULADO DESPACHO	0	Analisar despacho	ANULADO o despacho abaixo indicado.	FALSO	FALSO
796	ANULADO DESPACHO TRANSFERÊNCIA	60	Analisar despachos e informar Cliente	ANULADO(S) os despachos em TRANSFERÊNCIA e/ou nos pedi-dos de ALTERAÇÃO(OES) de nome e/ou sede, conforme abaixo	FALSO	FALSO
800	REVISÃO ADMINISTRATIVA PROVIDA	60	Interpor recurso ao Ministro	REVISÃO ADMINISTRATIVA CONHECIDA E PROVIDA. CANCE-LADO O REGISTRO, observando o disposto no complemento.	FALSO	FALSO
801	REVISÃO ADMINISTRATIVA PROVIDA	60	Analisar despacho	REVISÃO ADMINISTRATIVA PROVIDA - examinada  como   PRO-CESSO ADM.  DE NULIDADE.  CANCELADO REGISTRO,  obser-vando complemento.	FALSO	FALSO
805	REVISÃO ADM. NÃO ACOLHIDA	60	Aguardar recurso do titular	REVISÃO ADMINISTRATIVA CONHECIDA,NEGADO PROVIMEN-TO. MANTIDA A CONCESSÃO DO REGISTRO.	FALSO	FALSO
806	REVISÃO ADM. NÃO ACOLHIDA	0	Comunicar Cliente	REVISÃO ADMINISTRATINA conhecida. NEGADO PROVIMEN-TO. MANTIDA a  CONCESSÃO do registro.	FALSO	FALSO
810	REVISÃO ADM PROVIDA SOBRESTADO	0	Acompanhar o registro	REVISÃO ADMINISTRATIVA CONHECIDA.   SOBRESTADO   O EXAME, observando o disposto no complemento.	FALSO	FALSO
813	REVISÃO ADMINISTRATIVA	60	Analisar medidas administrativa e judicial	REVISÃO ADMINISTRATIVA, observando o disposto no comple-mento.	FALSO	FALSO
814	REVISÃO ADMINISTRATIVA	60	Analisar despacho	REVISÃO ADMINISTRATIVA, observando o disposto no comple-mento	FALSO	FALSO
815	MANTIDA CONCESSÃO	0	Acompanhar registro durante decênio	MANTIDA A VIGÊNCIA DO REGISTRO,  face a  não  interposição de  recurso.	FALSO	FALSO
816	MANTIDO CANCELAMENTO	0	Analisar medidas administrativa e judicial	MANTIDO O CANCELAMENTO DO REGISTRO, face a não inter-posição de recurso.	FALSO	FALSO
820	PROCESSO ADM. DE NULIDADE PROVIDO	0	Analisar propositura de ação judicial	PROCESSO  ADMINISTRATIVO   DE  NULIDADE  conhecido   e PROVIDO - NULO O REGISTRO observando o disposto no  com-plemento	FALSO	FALSO
821	PROC  ADM NULIDADE NÃO PROVIDO MANTIDA CONCESSÃO	0	Informar Cliente.	PROCESSO ADMINISTRATIVO DE NULIDADE conhecido NEGA-DO PROVIMENTO. Mantida a concessão do registro.	FALSO	FALSO
822	P  A  N  CONHECIDO SOBRESTADO	0	Analisar despacho	PROCESSO  ADMINISTRATIVO  DE  NULIDADE  CONHECIDO. SOBRESTADO o exame, observando o disposto no complemento	FALSO	FALSO
823	PROCESSO ADM. DE NULIDADE	180	Apresentar Manifestação	PROCESSO ADMINISTRATIVO DE NULIDADE, observando o  disposto no complemento.	FALSO	FALSO
840	RECURSO PROVIDO PRORROGADO	3650	Comunicar o Cliente	RECURSO  conhecido e PROVIDO. Reformada a decisão recorri-da. PRORROGADO o registro.	FALSO	FALSO
841	RECURSO PROVIDO PROSSEGUE PRORROGACAO	0	Comunicar Cliente	RECURSO conhecido e PROVIDO .Reformada a decisão recorri-da. Determinado o PROSSEGUIMENTO do exame do pedido de PRORROGAÇÃO.	FALSO	FALSO
842	RECURSO NAO ACOLHIDO INDEFERIDA PRORROGACAO	0	Analisar eventual medida judicial	RECURSO  conhecido.  NEGADO PROVIMENTO. Mantido INDE-FERIMENTO do pedido de PRORROGAÇÃO do registro	FALSO	FALSO
843	RECURSO NAO ACOLHIDO MANTIDA PRORROGACAO	0	Comunicar Cliente	RECURSO conhecido NEGADO PROVIMENTO Mantida a PROR-ROGAÇÃO do registro.	FALSO	FALSO
844	RECURSO PROVIDO MANTIDO REGISTRO	0	Comunicar Cliente	RECURSO conhecido e PROVIDO. Reformada a decisão recorri-da. MANTIDA a vigência do REGISTRO ( Art. 135 LPI )	FALSO	FALSO
845	RECURSO NAO ACOLHIDO CANCELADO REGISTRO	180	Analisar eventual medida judicial	RECURSO  conhecido.  NEGADO PROVIMENTO.   MANTIDO   o CANCELAMENTO do REGISTRO ( Art. 135 LPI )	FALSO	FALSO
846	RECURSO PROVIDO DEFERIDA CADUCIDADE EXTINTO	180	Analisar eventual medida judicial	RECURSO conhecido e  PROVIDO. Reformada a decisão recorri-da. DEFERIDO o pedido de  CADUCIDADE,  EXTINTO  o registro nos termos do art. 142, inciso III, da LPI.	FALSO	FALSO
847	RECURSO PROVIDO INDEFERIDA CADUCIDADE	0	Comunicar Cliente	RECURSO conhecido e  PROVIDO. Reformada a decisão recorri-da. INDEFERIDO o pedido de CADUCIDADE. MANTIDA a vigên-cia do REGISTRO.	FALSO	FALSO
848	RECURSO NAO ACOLHIDO CADUCO EXTINTO	180	Analisar eventual medida judicial	RECURSO conhecido. NEGADO PROVIMENTO.Mantida a CADU-CIDADE  do registro.  EXTINTO o registro nos termos do   Art. 142, inciso III da LPI.	FALSO	FALSO
849	RECURSO NAO ACOLHIDO INDEFERIDA CADUCIDADE	0	Analisar medidas administrativa e judicial	RECURSO conhecido. NEGADO PROVIMENTO. Mantido o INDE-FERIMENTO do pedido de CADUCIDADE do registro	FALSO	FALSO
850	PRORROGADO REGISTRO	3650	Acompanhar registro durante decênio	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida. PRORROGADO o registro.	FALSO	FALSO
851	RECURSO PROVIDO PROSSEGUE PRORROGACAO	0	Acompanhar registro	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida.  Determinado prosseguimento do exame do  pedido de  PROR-ROGAÇÃO	FALSO	FALSO
852	RECURSO PROVIDO EXTINTO REGISTRO	180	Analisar medidas administrativa e judicial	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida. DEFERIDO o pedido de  CADUCIDADE.  EXTINTO o registro nos termos do  ITEM 3 do Art.93 do CPI.	FALSO	FALSO
853	RECURSO PROVIDO MANTIDO REGISTRO	0	Acompanhar registro durante decenio	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida.   INDEFERIDO  o  pedido de  CADUCIDADE.   MANTIDA    A VIGÊNCIA DO REGISTRO.	FALSO	FALSO
854	RECURSO PROVIDO MANTIDO REGISTRO	0	Acompanhar registro durante decênio	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida. MANTIDA A VIGÊNCIA DO REGISTRO (Art. 89 do CPI).	FALSO	FALSO
855	RECURSO NAO ACOLHIDO	0	Analisar medidas administrativa e judicial	RECURSO CONHECIDO. NEGADO PROVIMENTO. MANTIDO O INDEFERIMENTO do pedido de PRORROGAÇÃO do registro.	FALSO	FALSO
856	RECURSO NAO ACOLHIDO	0	Acompanhar registro durante decênio	RECURSO CONHECIDO. NEGADO PROVIMENTO.  MANTIDA  A PRORROGAÇÃO do registro.	FALSO	FALSO
857	RECURSO NAO ACOLHIDO REGISTRO EXTINTO	0	Analisar medidas administrativa e judicial	RECURSO CONHECIDO.  NEGADO PROVIMENTO   MANTIDA A CADUCIDADE do registro.  EXTINTO  o registro nos termos do ITEM 3 do Art. 93 do CPI.	FALSO	FALSO
858	RECURSO NAO ACOLHIDO	0	Acompanhar registro durante decênio	RECURSO CONHECIDO. NEGADO PROVIMENTO. MANTIDO O INDEFERIMENTO do pedido de CADUCIDADE do registro.	FALSO	FALSO
859	RECURSO NAO ACOLHIDO	0	Analisar medidas administrativa e judicial	RECURSO CONHECIDO. NEGADO PROVIMENTO. MANTIDO O CANCELAMENTO do registro (Art. 89 do CPI).	FALSO	FALSO
860	RECURSO PROVIDO	0	Analisar medidas administrativa e judicial	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida.	FALSO	FALSO
865	RECURSO NAO ACOLHIDO	0	Analisar medidas administrativa e judicial	RECURSO CONHECIDO. NEGADO PROVIMENTO.	FALSO	FALSO
870	RECURSO CONHECIDO	180	Analisar despacho	RECURSO CONHECIDO, observado disposto no complemento.	FALSO	FALSO
871	RECURSO PROVIDO PROSSEGUE TRANSFERENCIA	0	Analisar despacho	RECURSO conhecido e PROVIDO. Reformada a decisão recorri-da.  Determinado o PROSSEGUIMENTO do exame do pedido de TRANSFERÊNCIA	FALSO	FALSO
872	RECURSO CONHECIDO EM TRANSFERENCIA	180	Analisar despacho	RECURSO  CONHECIDO  em decisão de pedido de anotação de TRANSFERÊNCIA conhecido, observando o disposto no comple-mento	FALSO	FALSO
873	SOBRESTAMENTO	60	Analisar despacho	SOBRESTADO  o exame do  Recurso,  observando o disposto   no complemento	FALSO	FALSO
888	MANTIDA CONCESSÃO	0	Acompanhar o registro durante decênio	MANTIDA A CONCESSÃO DO REGISTRO, face ao indicado no complemento.	FALSO	FALSO
889	CANCELADO REGISTRO	0	Analisar medidas administrativa e judicial	CANCELADO O REGISTRO, face ao indicado no complemento.	FALSO	FALSO
890	SOBRESTAMENTO	0	Aguardar decisão do INPI	SOBRESTADO O EXAME, face ao indicado no complemento.	FALSO	FALSO
895	MANTIDO CANCELAMENTO	0	Analisar medidas administrativa e judicial	MANTIDO O CANCELAMENTO DO REGISTRO, observando o disposto no complemento.	FALSO	FALSO
900	CADUCIDADE DEFERIDA	60	Interpor recurso contra o despacho	DECLARADA A CADUCIDADE DO REGISTRO, conforme indicado no complemento.	FALSO	FALSO
910	CADUCIDADE INDEFERIDA	0	Comunicar Cliente	MANTIDA  A  VIGÊNCIA   DO  REGISTRO.  Comprovado  o  USO EFETIVO da marca ou JUSTIFICADO O SEU DESUSO por razões legítimas.	FALSO	FALSO
911	CADUCIDADE PARCIAL DECLARADA	60	Interpor recurso	DECLARADA a CADUCIDADE PARCIAL do registro para os produ-tos / serviços indicados no complemento. Consequentemente, fica mantida a vigência do registro para os demais produtos / servoços indicados no complemento.	FALSO	FALSO
920	REGISTRO MANTIDO	0	Acompanhar registro durante decênio	MANTIDA A VIGÊNCIA DO REGISTRO,  face a  não  interposição de  recurso, conforme indicado no complemento	FALSO	FALSO
921	REGISTRO MANTIDO	0	Acompanhar registro no decênio	MANTIDA a vigência do REGISTRO, face a não interposição  de recurso, conforme indicado no complemento.	FALSO	FALSO
970	EXIGÊNCIA	60	Cumprir exigência	CUMPRA A EXIGÊNCIA, observando o disposto no complemento.	FALSO	FALSO
971	EXAME NOTORIEDADE	0	Acompanhar pedido de notoriedade	Comunicação  do  EXAME  DO  PEDIDO  DE  DECLARAÇÃO  DE NOTORIEDADE, objeto deste registro, facultando apresentar MA-NIFESTAÇÃO (TERCEIROS(S),  conforme disposto no  item 4  do Ato Normativo /INPI 046/80	FALSO	FALSO
972	MANIFESTAÇÃO SOBRE NOTORIEDADE	60	Contestar impugnação de terceiros	MANIFESTAÇÃO(oes) DE TERCEIRO(S) indicada(s)AO PEDIDO DE DECLARAÇÃO DE NOTORIEDADE, objeto deste registro.	FALSO	FALSO
973	NOTORIEDADE INDEFERIDA	60	Interpor recurso contra o despacho	INDEFERIDO o pedido  de   DECLARAÇÃO DE NOTORIEDADE DE MARCA.	FALSO	FALSO
974	DECLARADA NOTORIEDADE	0	Acompanhar registro durante decênio	DECLARADA NOTÓRIA a marca objeto deste registro, nos termos do Art. 67 do CPI.	FALSO	FALSO
975	RECURSO INTERPOSTO	0	Informar Cliente	RECURSO INTERPOSTO CONTRA A DECISÃO abaixo indicada.	FALSO	FALSO
976	RECURSO PROVIDO NOTIFICACAO	60	Analisar despacho	RECURSO CONHECIDO E PROVIDO.Reformada a decisão recor-rida. DECLARADA/PRORROGADA  A NOTORIEDADE da marca, objeto deste registro. Inicia-se nesta data o prazo de  60 dias  para que o titular COMPROVE o recolhimento do decênio	FALSO	FALSO
977	RECURSO NAO ACOLHIDO	0	Analisar medidas administrativa e judicial	RECURSO CONHECIDO. NEGADO PROVIMENTO.  MANTIDO O INDEFERIMENTO DO PEDIDO DE DECLARAÇÃO /PRORROGA-ÇÃO DE NOTORIEDADE, objeto deste registro.	FALSO	FALSO
978	RECURSO PROVIDO INDEFERIDA NOTORIEDADE	60	Analisar medidas administrativa e judicial	RECURSO CONHECIDO E PROVIDO. Reformada a decisão recor-rida. INDEFERIDO o pedido de  DECLARAÇÃO/PRORROGAÇÃO DE NOTORIEDADE da  marca, objeto deste registro.	FALSO	FALSO
979	DECLARAÇÃO NOTORIEDADE	0	Analisar despacho	DECLARADA NOTÓRIA  a marca objeto deste registro, nos termos do Ato Normativo 137 de 30.04.1997	FALSO	FALSO
980	EXAME NOTORIEDADE PRORROGACAO	0	Analisar despacho	Comunicação do  EXAME DO  PEDIDO DE PRORROGAÇÃO  DE DECLARAÇÃO  DE  NOTORIEDADE,  objeto deste registro, facul-tando  MANIFESTAÇÃO(OES)  DE  TERCEIRO(S),  conforme  dis-posto no item 04 do Ato Normativo n 046/80.	FALSO	FALSO
981	MANIFESTAÇÃO TERCEIROS PRORROG. NOTORIEDADE	60	Apresentar contestação.	MANIFESTAÇÃO DE TERCEIROS apresentadas ao  PEDIDO  DE PRORROGAÇÃO   DE  DECLARAÇÃO  DE   NOTORIEDADE  DE MARCA, objeto deste registro, para ciência do Titular.	FALSO	FALSO
982	NOTORIEDADE PRORROGACAO INDEFERIDA	60	Analiosar despacho	INDEFERIDO  o pedido de  PRORROGAÇÃO  DE  DECLARAÇÃO DE NOTORIEDADE DE MARCA.	FALSO	FALSO
983	NOTORIEDADE PRORROGACAO CONCEDIDA	60	Analisar despacho	CONCEDIDA  A  PRORROGAÇÃO DE DECLARAÇÃO DE NOTO-RIEDADE  do registro.  Inicia-se, nesta data,  o  prazo de  60  dias para que a titular  COMPROVE,  junto ao  INPI, o recolhimento da taxa  do decênio sob pena de cancelamento irrecorrível.	FALSO	FALSO
984	CANCELADA / EXTINTA NOTORIEDADE	60	Analisar medidas administrativa e judicial	CANCELADA / EXTINTA  A DECLARAÇÃO DE  NOTORIEDADE, com base no artigo 233 da LPI.	FALSO	FALSO
985	PETIÇÃO ARQUIVADA	0	Analisar medidas administrativa e judicial	ARQUIVADA a petição abaixo indicada, face ao decurso do prazo para interposição de recurso. ENCERRADA  A INSTÂNCIA ADMI-NISTRATIVA DO PROCEDIMENTO.	FALSO	FALSO
990	CONCESSÃO PRORROGAÇÃO	3650	Acompanhar registro no decênio.	CONCEDIDA  A  PRORROGAÇÃO  DO  REGISTRO. O certificado de prorrogação de registro estará à disposição do titular,na Recep-ção do INPI, após 60 dias a contar desta data.	FALSO	FALSO
991	CONCESSÃO PRORROGAÇÃO RETIFICAÇÃO	3650	Acompanhar registro no decênio.	CONCEDIDA  a  PRORROGAÇÃO  do registro  em  RETIFICAÇÃO conforme abaixo indicado. O certificado de prorrogação de registro estará à disposição do Titular na Recepção do  INPI após  60 dias a contar desta data.	FALSO	FALSO
992	CONCESSÃO PRORROGAÇÃO DESDOBRADO	3650	Localizar desdobramento e acompanhar registros no decênio.	CONCEDIDA  A  PRORROGAÇÃO  do  registro DESDOBRADO. O certificado de prorrogação estará à disposição do Titular na Recep-ção do INPI, após 60 dias a contar desta publicação.	FALSO	FALSO
993	CONCESSÃO PRORROGAÇÃO DESDOBRADO RETIFICAÇÃO	3650	Localizar desdobramento e acompanhar registros no decênio.	CONCEDIDA  PRORROGAÇÃO do  registro  DESDOBRADO  EM RETIFICAÇÃO.  O  certificado de prorrogação estará a disposição do titular na  Recepção do INPI a contar desta data.	FALSO	FALSO
994	CONCESSÃO PRORROGAÇÃO REGISTRO AGRUPADO	3650	Acompanhar registro no decênio.	CONCEDIDA A PRORROGAÇÃO DO REGISTRO AGRUPADO. O certificado de prorrogação de registro estará a disposição do titular na  Recepção do  INPI,  após  60  ( sessenta ) dias a contar desta  data.	FALSO	FALSO
995	PRORROGAÇÃO NOTORIEDADE	0	Analisar despacho	CONCEDIDA A PRORROGAÇÃO DE DECLARAÇÃO DE NOTORI-EDADE do registro, nos termos do Ato Normativo 137 de 30.04.97	FALSO	FALSO
996	RETIFICAÇÃO PRORROGAÇÃO REGISTRO AGRUPADO	3650	Acompanhar registro no decênio.	CONCEDIDA  A  PRORROGAÇÃO  DO  REGISTRO  AGRUPADO EM RETIFICAÇÃO, conforme indicado no complemento.O certifica-do de prorrogação de registro estará à disposição do  titular na  Re-cepção  do INPI, após 60 ( sessenta ) dias a contar desta data.	FALSO	FALSO
997	PRORROGAÇÃO PROPAGANDA	0	Analisar despacho	CONCEDIDA  A  PRORROGAÇÃO  DO  REGISTRO DE EXPRES-SÃO DE PROPAGANDA.  O certificado de prorrogação  de registro estará à disposição do titular na Recpção do  INPI, após  60 dias a contar desta data.	FALSO	FALSO
998	PRORROGAÇÃO PROPAGANDA RETIFICAÇÃO	0	Analisar despacho	CONCEDIDA  A  PRORROGAÇÃO DO  REGISTRO  DE  EXPRES-SÃO DE PROPAGANDA EM RETIFICAÇÃO,conforme indicado no complemento.  O certificado de prorrogação de registro estará à dis-posição do titular na Recepção do INPI, após 60 dias a contar des-ta data.	FALSO	FALSO
IPAS005	EXIGÊNCIA FORMAL	5	Analisar despacho.	Exigência formal relativa ao Pedido de Registro de Marca, elaborada nos termos do artigo 157 da Lei da Propriedade Industrial (LPI, lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS009	PEDIDO PUBLICADO	60	Acompanhar pedido.	Publicado o pedido de registro de marca para a apresentação de oposição, nos termos do artigo 158 da Lei da Propriedade Industrial (LPI, lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS024	INDEFERIMENTO	60	Interpor recurso.	Como parte do exame de mérito do pedido de registro de marca, foram analisadas a liceidade, a distintividade e a disponibilidade do sinal requerido como marca, inclusive por meio de buscas de anterioridade e do exame de eventuais oposições, manifestação do requerente e demais documentos apresentados.	FALSO	FALSO
IPAS029	DEFERIMENTO	60	Promover recolhimento das taxas finais.	Como parte do exame de mérito do pedido de registro de marca, foram analisadas a liceidade, a distintividade e a disponibilidade do sinal requerido como marca, inclusive por meio de buscas de anterioridade e do exame de eventuais oposições, manifestação do requerente e demais documentos apresentados.	FALSO	FALSO
